,RunId,CODC,RMSEC,NRMSEC,NSEC,PBIASC,IOAC,OF1C,OF2C,CODV,RMSEV,NRMSEV,NSEV,PBIASV,IOAV,OF1V,OF2V,SCALE
Objective Function,12028,0.6088641887082621,2.473595483312093,6.159661201551078,0.5953571973425971,0.0020476963580162,0.8741568211753601,0.6448160103167638,0.655136211557653,0.195012944123164,3.309065302165559,11.339353949085185,0.1610232321240207,3.631394255099188,0.572422526084376,4.215720639238588,4.131700742750234,daily
NSE,64219,0.6416806814912757,2.3513185449504785,5.855171434266256,0.6343737232948685,-1.6685673260558382,0.8864125466755994,2.1991741226774715,2.0663207781698887,0.2648814287741777,3.1198410640313745,10.690928966191889,0.2542312183966934,9.324277589922026,0.6332631048267322,9.852542881888828,9.714217371170797,daily
PBIAS,12028,0.6088641887082621,2.473595483312093,6.159661201551078,0.5953571973425971,0.0020476963580162,0.8741568211753601,0.6448160103167638,0.655136211557653,0.195012944123164,3.309065302165559,11.339353949085185,0.1610232321240207,3.631394255099188,0.572422526084376,4.215720639238588,4.131700742750234,daily
COD,12668,0.6475183123292209,2.394632190083851,5.963029562737832,0.6207792488899961,-6.005437313896161,0.8918689911564023,6.516480877214706,6.35987932561569,0.2387761553837253,3.2282487827605384,11.062415588918366,0.2015030689251215,-1.793777974880342,0.6284593983713296,2.4287887407063966,2.3961764559562124,daily
Objective Function,3928,0.7625886399743059,14.168156948301045,1.159131015795276,0.7557586488846457,0.0335909242024957,0.932879502280126,0.5868331210709969,0.5006509784591686,0.5985287231877089,19.6864369673677,2.216562035696604,0.5890126058183063,-1.361941654109082,0.843314427003248,1.906760960761134,1.78998522545004,monthly
NSE,37640,0.8453358111476713,11.460371459741514,0.9376005686550722,0.84019518362922,-6.131990880221056,0.9584063245478224,6.633915933645117,6.469147994676063,0.6796352699669216,17.799416578559967,2.0040960744182925,0.6640259032966531,-13.218136425761797,0.8779716034428623,13.722250019201237,13.559419043070196,monthly
PBIAS,32912,0.6749150531335127,16.72980132013044,1.3687053064852812,0.6594553653204098,-0.0003782687517782,0.903805584855673,0.6052677589696004,0.5770739157633571,0.4887719166767786,22.26345177299781,2.506716785032717,0.4743710722183588,1.2621689269016236,0.7662361525465029,1.838892355919317,1.755923513514774,monthly
COD,37640,0.8453358111476713,11.460371459741514,0.9376005686550722,0.84019518362922,-6.131990880221056,0.9584063245478224,6.633915933645117,6.469147994676063,0.6796352699669216,17.799416578559967,2.0040960744182925,0.6640259032966531,-13.218136425761797,0.8779716034428623,13.722250019201237,13.559419043070196,monthly
Objective Function,66324,0.6645380390049794,43.68146528686389,0.2978071495945947,0.6450814178452388,0.0671737807926839,0.9018231784658384,0.6690689781908989,0.6315915418202822,0.4077267861619129,70.02780632072319,0.68562311592858,0.376554861493775,-5.06042131611961,0.8010394412032319,5.595263090640545,5.461873361682088,yearly
NSE,66324,0.6645380390049794,43.68146528686389,0.2978071495945947,0.6450814178452388,0.0671737807926839,0.9018231784658384,0.6690689781908989,0.6315915418202822,0.4077267861619129,70.02780632072319,0.68562311592858,0.376554861493775,-5.06042131611961,0.8010394412032319,5.595263090640545,5.461873361682088,yearly
PBIAS,12028,0.5756922595419952,52.86071538279345,0.3603885279556995,0.480242919918654,0.0020476963580206,0.8707313184527635,0.7226335943706755,0.7501099359321253,0.3610443450512622,71.9186159852838,0.7041355166727439,0.3424332555507312,3.631394255099182,0.7648233693046573,4.183397245597426,4.0693639801416746,yearly
COD,26136,0.6885804504585703,48.42982565441461,0.3301800486496426,0.5637251754072103,-13.901715126766602,0.8927070582231204,14.40832170362362,14.245136802425016,0.4739324627477382,66.75015331250347,0.6535325109746553,0.4335498006661521,-12.53870894359912,0.8280821756014008,13.051007499201624,12.895234982783853,yearly
