    OWN#    HRD#    GRZ#     #HD    FFED        
       1       1       1      16       0        
       1       2       1       6       0        
       1       3       1      17       0        
       1       4       2      10       0        
       1       5       2       8       0        
       1       6       2      12       0        
       1       7       4      16       0        
       1       8       3      12       0        
       1       9       4       4       0        
       1      10       8       4       0        
       8       1       5       4       0        
       8       2       6       5       0        
       8       3       7      18       0        
       8       4       8      12       0        
       8       5       9      49       0        
       8       6       9       2       0        

