 |-Fertilizer|       1       2       3       4       5       6       7       8       9
   35 20-00-00  0.2000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.3000
   36 20-00-00  0.2000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.2050
   37 20-00-00  0.2000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.1580
   38 20-10-10  0.2000  0.0440  0.0830  0.0000  0.0000  0.0000  0.0000  0.0000  0.2230
   39 20-20-00  0.2000  0.0880  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
   40 21-00-00  0.2100  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.2540
   41 22-00-00  0.2200  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.1550
   42 22-14-00  0.2200  0.0620  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
   43 23-00-00  0.2300  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.1730
   44 24-06-00  0.2400  0.0260  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
   45 25-03-00  0.2500  0.0130  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
   46 25-05-00  0.2500  0.0220  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
   47 26-00-00  0.2600  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.1540
   48 26-13-00  0.2600  0.0570  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
   49 28-00-00  0.2800  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.3620
   50 28-00-00  0.2800  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.1660
   51 28-00-00  0.2800  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.1500
   52 28-03-00  0.2800  0.0130  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
   53 28-10-10  0.2800  0.1000  0.0830  0.0000  0.0000  0.0000  0.0000  0.0000  0.2690
   54 28-14-00  0.2800  0.0610  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.2600
   55 30-00-00  0.3000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.2400
   56 30-15-00  0.3000  0.0660  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
   57 31-13-00  0.3100  0.0570  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
   58 32-00-00  0.3200  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.2480
   59 32-02-10  0.3200  0.0090  0.0830  0.0000  0.0000  0.0000  0.0000  0.0000  0.2480
   60 33-00-00  0.3300  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.2190
   61 34-00-00  0.3400  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.2880
   62 34-00-00  0.3400  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.2910
   63 39-00-00  0.3900  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.3710
   64 39-00-00  0.3900  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.4420
   65 45-00-00  0.4500  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.3010
   66 46-00-00  0.4600  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.3140
   67 46-00-00  0.4600  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.3660
   68 46-00-00  0.4600  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.3240
   69 82-00-00  0.8200  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.2810
   70 82-00-00  0.8200  0.0000  0.0000  0.0000  0.0000  0.9900  0.0000  0.0000  0.2810
   71 82-00-00  0.8200  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.4470
   72 ANH-NH3   0.8200  0.0000  0.0000  0.0000  0.0000  1.0000  0.0000  0.0000  0.0000
   73 B-FDLT-S  0.0010  0.0030  0.0000  0.0090  0.0020  0.9900  0.3500  0.0000  0.0120
   74 B-FDLT-P  0.0300  0.0040  0.0000  0.0200  0.0020  0.9900  0.3500  0.0000  0.0090
   75 B-FRESH   0.0140  0.0080  0.0000  0.0260  0.0040  0.9900  0.3500  0.0000  0.0120
   76 B-FRESH2  0.0240  0.0080  0.0000  0.0100  0.0040  0.9900  0.3500  0.0000  0.0000
   77 BEEF-FR   0.0100  0.0040  0.0000  0.0300  0.0070  0.9900  0.3500  0.0000  0.0000
   78 BERM-N-P  0.8730  0.1270  0.0000  0.0000  0.0000  0.0000  0.3500  0.0000  0.0000
   79 BROIL-FR  0.0750  0.0140  0.0000  0.0140  0.0310  0.9900  0.3500  0.0000  0.0000
   80 D-1-LAGE  0.7000  0.1500  0.0000  0.0800  0.0700  0.9000  0.3500  0.0000  0.0120
   81 D-FRESH   0.0120  0.0040  0.0000  0.0210  0.0020  0.9900  0.3500  0.0000  0.0120
   82 D-LIQ     0.0030  0.0010  0.0000  0.0010  0.0010  0.9870  0.3500  0.0000  0.0000
   83 D-LQ-LGN  0.5660  0.0900  0.0000  0.1020  0.2420  0.9870  0.3500  0.0000  0.0120
   84 D-SO-LGN  0.0490  0.0820  0.0000  0.6480  0.2210  0.9720  0.3500  0.0000  0.0120
   85 D-SO-MNU  0.0020  0.0070  0.0000  0.0220  0.0040  0.9720  0.3500  0.0000  0.0000
   86 D-SO-MNU  0.0020  0.0070  0.0000  0.0220  0.0040  0.9720  0.4200  0.0000  0.0000
   87 DAIRY-FR  0.0070  0.0050  0.0000  0.0310  0.0030  0.9900  0.3500  0.0000  0.0000
   88 DAP       0.1800  0.4600  0.0000  0.0000  0.0000  0.9900  0.0000  0.0000  0.0000
   89 DSMGAS    0.0020  0.0070  0.0000  0.0220  0.0040  0.9720  0.3500  0.0000  0.0000
   90 DUCK-FR   0.0230  0.0080  0.0000  0.0250  0.0090  0.9900  0.3500  0.0000  0.0000
   91 ELEM-K    0.0000  0.0000  1.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0010
   92 ELEM-N    1.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.2370
   93 ELEM-P    0.0000  1.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.5760
   94 GOAT-FR   0.0130  0.0030  0.0000  0.0220  0.0050  0.9900  0.3500  0.0000  0.0000
   95 GOAT-FSH  0.0190  0.0100  0.0000  0.0380  0.0050  0.9900  0.3500  0.0000  0.0120
   96 HOG-FSH   0.0210  0.0160  0.0000  0.0400  0.0070  0.9900  0.3500  0.0000  0.0120
   97 HORSE-FR  0.0060  0.0010  0.0000  0.0140  0.0030  0.9900  0.3500  0.0000  0.0000
   98 HORSE-FS  0.0130  0.0060  0.0000  0.0230  0.0030  0.9900  0.3500  0.0000  0.0120
   99 LAYER-FR  0.0130  0.0060  0.0000  0.0400  0.0130  0.9900  0.3500  0.0000  0.0000
  100 LIQUID    0.0030  0.0010  0.0000  0.0010  0.0010  0.9870  0.1500  0.0000  0.0000
  101 MANU_S    0.0040  0.0070  0.0000  0.0240  0.0030  0.9750  0.0000  0.0000  0.0000
  102 MANUR3    0.0007  0.0023  0.0000  0.0093  0.0012  1.0000  0.3500  0.0000  0.0000
  103 MANR3A    0.0005  0.0044  0.0000  0.0158  0.0024  1.0000  0.3500  0.0000  0.0000
  104 MANUR4    0.0005  0.0018  0.0000  0.0063  0.0010  1.0000  0.3500  0.0000  0.0000
  105 MANUR5    0.0004  0.0022  0.0000  0.0058  0.0020  1.0000  0.3500  0.0000  0.0000
  106 MANURE    0.0020  0.0070  0.0000  0.0220  0.0040  0.9720  0.4200  0.0000  0.0000
  107 P-DPIT-B  0.0100  0.0100  0.0000  0.0100  0.0070  0.9900  0.3500  0.0000  0.0000
  108 P-DPIT-L  0.0100  0.0100  0.0000  0.0100  0.0070  0.9900  0.3500  0.0000  0.0120
  109 P-FRSH-B  0.0060  0.0100  0.0000  0.0540  0.0070  0.9900  0.3500  0.0000  0.0120
  110 P-FRSH-D  0.0030  0.0050  0.0000  0.0270  0.0020  0.9900  0.3500  0.0000  0.0120
  111 P-FRSH-G  0.0030  0.0100  0.0000  0.0270  0.0060  0.9900  0.3500  0.0000  0.0120
  112 P-FRSH-L  0.0050  0.0100  0.0000  0.0450  0.0070  0.9900  0.3500  0.0000  0.0120
  113 P-FRSH-P  0.0030  0.0100  0.0000  0.0270  0.0050  0.9900  0.3500  0.0000  0.0120
  114 P-FRSH-T  0.0060  0.0100  0.0000  0.0540  0.0070  0.9900  0.3500  0.0000  0.0120
  115 P-LIQ-B   0.0040  0.0100  0.0000  0.0400  0.0070  0.9900  0.3500  0.0000  0.0120
  116 P-LIQ-L   0.0040  0.0100  0.0000  0.0400  0.0070  0.9900  0.3500  0.0000  0.0120
  117 P-MPIT-B  0.0200  0.0100  0.0000  0.0200  0.0070  0.9900  0.3500  0.0000  0.0120
  118 P-MPIT-L  0.0200  0.0100  0.0000  0.0200  0.0070  0.9900  0.3500  0.0000  0.0120
  119 RIESEL01  0.0030  0.0020  0.0000  0.0430  0.0410  0.8500  0.5600  0.0000  0.0000
  120 RIESEL02  0.0050  0.0010  0.0000  0.0290  0.0370  0.8200  0.3500  0.0000  0.0000
  121 RIESEL03  0.0070  0.0010  0.0000  0.0410  0.0230  0.9470  0.3000  0.0000  0.0000
  122 SHEEP-FR  0.0140  0.0030  0.0000  0.0240  0.0050  0.9900  0.3500  0.0000  0.0000
  123 SHEEP-FS  0.0180  0.0070  0.0000  0.0350  0.0030  0.9900  0.3500  0.0000  0.0120
  124 SWINE-FR  0.0260  0.0110  0.0000  0.0210  0.0050  0.9900  0.3500  0.0000  0.0000
  125 TURK-FR   0.0070  0.0030  0.0000  0.0450  0.0160  0.9900  0.3500  0.0000  0.0000
  126 UREA      1.0000  0.0000  0.0000  0.0000  0.0000  1.0000  0.0000  0.0000  0.0000
  127 VEAL-FR   0.0230  0.0060  0.0000  0.0290  0.0070  0.9900  0.3500  0.0000  0.0000
  128 VEAL-FS   1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  0.0000  0.1000
