 |-Fertilizer|       1       2       3       4       5       6       7       8       9
    # Name          FN      FP      FK     FNO     FPO    FNH3     FOC    FSLT    FCST
    1 00-06-00  0.0000  0.0260  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
    2 00-15-00  0.0000  0.0660  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
    3 00-45-00  0.0000  0.1980  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
    4 02-09-00  0.0200  0.0400  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
    5 03-06-00  0.0300  0.0260  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
    6 04-08-00  0.0400  0.0350  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
    7 05-10-05  0.0500  0.0440  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
    8 05-10-10  0.0500  0.0440  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
    9 05-10-15  0.0500  0.0440  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
   10 06-24-24  0.0600  0.1060  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
   11 07-00-00  0.0700  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
   12 07-07-00  0.0700  0.0310  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
   13 08-08-00  0.0800  0.0350  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
   14 08-15-00  0.0800  0.0660  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
   15 10-10-10  0.1000  0.0440  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
   16 10-20-20  0.1000  0.0880  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
   17 10-28-00  0.1000  0.1230  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
   18 10-34-00  0.1000  0.1500  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
   19 11-15-00  0.1100  0.0660  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
   20 11-46-00  0.1100  0.2010  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.3250
   21 11-52-00  0.1100  0.2290  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
   22 12-20-00  0.1200  0.0880  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
   23 13-13-13  0.1300  0.0570  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
   24 14-46-00  0.1400  0.2010  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.2980
   25 15-15-00  0.1500  0.0660  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
   26 15-15-15  0.1500  0.0660  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
   27 16-00-00  0.1600  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.2610
   28 16-20-00  0.1600  0.0880  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.2760
   29 16-20-00  0.1600  0.0880  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.2760
   30 16-20-20  0.1600  0.0880  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
   31 18-04-00  0.1800  0.0180  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
   32 18-18-00  0.1800  0.0790  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.1770
   33 18-46-00  0.1800  0.2000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.2730
   34 19-00-00  0.1900  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0980
