    OWN#    HRD#    GRZ#     #HD    FFED        
       1       1      11     175       0        
       1       2      12     175       0        
       1       3      13     175       0        
       1       4      14     175       0        
       1       5      15     175       0        
       1       6      16     175       0        
       1       7      10     175       0        
       1       8      10      70       0        
       1       9       8     175       0        

